Date/time,Loop number,Mag field x,Mag field y,Mag field z,Latitude,Longitude
2020-04-29 23:13:34.178008,1,24.18,-5.94,8.63,-3.0383449789264687,17.956468290220556
2020-04-29 23:13:45.124325,1,24.8,-6.24,9.62,-2.4818324778546423,18.35193282806971
2020-04-29 23:13:56.073429,1,25.1,-6.38,10.34,-1.9251616017714368,18.747035365892852
2020-04-29 23:14:07.024456,1,25.71,-6.6,10.66,-1.3683652209622321,19.141856158412732
2020-04-29 23:15:18.033811,1,26.8,-7.14,12.48,2.226275400529915,21.68918203955816
2020-04-29 23:15:28.978665,1,27.28,-7.37,13.68,2.782963778972869,22.084547539664346
2020-04-29 23:15:39.933792,1,28.03,-7.61,14.51,3.2889108955152095,22.444339707025815
2020-04-29 23:15:50.871550,1,28.32,-7.79,14.98,3.845275266859411,22.84059142417681
2020-04-29 23:16:02.031464,1,28.69,-7.79,15.79,4.401420858706761,23.237432245143722
2020-04-29 23:17:13.037334,1,29.55,-8.15,17.71,8.033859747065758,25.855413018158345
2020-04-29 23:17:23.982135,1,30.19,-8.24,19.13,8.587254480224885,26.259437490584816
2020-04-29 23:17:34.928726,1,30.28,-8.44,20.66,9.089894931435293,26.62788009253011
2020-04-29 23:17:45.873936,1,30.63,-8.64,21.59,9.64227623527632,27.034510282124938
2020-04-29 23:17:56.819851,1,30.9,-8.63,22.29,10.194073557943309,27.442636283148005
2020-04-29 23:19:07.801319,1,31.16,-8.7,24.52,13.739088586247082,30.119071522626886
2020-04-29 23:19:18.754103,1,31.32,-8.83,25.94,14.285338941534375,30.541252345414545
2020-04-29 23:19:29.697011,1,31.67,-8.7,26.86,14.830676612793827,30.965717866479572
2020-04-29 23:19:40.642123,1,31.48,-8.94,28.2,15.375063180211352,31.392567123564934
2020-04-29 23:19:51.590585,1,31.53,-9.32,29.3,15.918452540010056,31.821905984602765
2020-04-29 23:21:02.571057,1,31.8,-10.32,31.47,19.398833488198,34.6598871507835
2020-04-29 23:21:13.508947,1,31.63,-10.28,33.41,19.933386290758,35.11103480584118
2020-04-29 23:21:24.469613,1,31.65,-10.41,34.81,20.46655427246378,35.56557023472719
2020-04-29 23:21:35.409618,1,31.56,-10.54,35.78,20.99828449934927,36.02359930537366
2020-04-29 23:21:46.357582,1,31.6,-10.2,36.55,21.528525744995704,36.485238130996485
2020-04-29 23:22:57.300568,1,31.2,-10.14,38.39,24.911487705051755,39.559827295310214
2020-04-29 23:23:08.252082,1,31.05,-10.08,39.96,25.42888307241668,40.05216099106307
2020-04-29 23:23:19.196391,1,30.71,-10.22,41.47,25.944304515111476,40.54914604564071
2020-04-29 23:23:30.145520,1,30.19,-10.15,42.31,26.457687146339023,41.05090540244819
2020-04-29 23:23:41.093339,1,29.83,-10.09,43.24,26.968966079302206,41.55757908036349
2020-04-29 23:24:52.068547,1,29.39,-9.92,44.77,30.213703793577412,44.95531815468886
2020-04-29 23:25:03.019800,1,28.82,-9.76,46.0,30.70706543280036,45.50294564686756
2020-04-29 23:25:13.963244,1,28.77,-9.92,46.93,31.19770182654447,46.05667591306966
2020-04-29 23:25:24.908769,1,28.46,-9.81,47.62,31.641298707474704,46.56548402510059
2020-04-29 23:25:35.895797,1,28.19,-9.73,48.15,32.1264948555449,47.131272990282355
2020-04-29 23:26:46.882844,1,27.64,-10.03,49.54,35.18272447136964,50.947122094650055
2020-04-29 23:26:57.822405,1,27.16,-9.99,50.7,35.64352659881913,51.565332761711666
2020-04-29 23:27:08.768705,1,26.66,-10.07,51.93,36.1006438392114,52.19123422177871
2020-04-29 23:27:19.716173,1,26.4,-9.98,52.77,36.55396349442515,52.82498015410751
2020-04-29 23:27:30.661932,1,25.99,-9.82,52.94,37.00337628143365,53.46673106814357
2020-04-29 23:28:41.670182,2,25.41,-9.7,53.88,39.802387803304875,57.811902757714336
2020-04-29 23:28:52.614476,3,24.77,-9.62,54.86,40.2189951917298,58.51811699713697
2020-04-29 23:29:03.561329,4,24.32,-9.94,56.14,40.63067118357398,59.23360663345249
2020-04-29 23:29:14.518012,5,23.94,-9.88,56.86,41.03727917505401,59.95849461006594
